伪,僞,,027,9,4,6,+24227+,/wei4,1ギ1いつはり1(1いつわり1)1いつはる1(1いつわる1)1にせ1,
优,優,,029,9,4,6,+23212+,/you1,1イウ1(1ユウ1)1ウ1すぐれる1まさる1やさしい1やはらぐ1(1やわらぐ1)1ゆたか1わざをぎ1(1わざおぎ1),
伝(1),傳,,026,9,4,6,+21231+,/chuan2,1テン1デン1つたふ1(1つたう1)1つたへる1(1つたえる1)1つたはる1(1つたわる1)1つて1,
伝(2),傳,,026,9,4,6,+21231+,/zhuan4,1テン1デン1,
伝(3),傳,,026,9,4,6,+21231+,/zhuan4,1テン1デン1,
传(1),傳,,026,9,4,6,+25232+,/chuan2,1テン1デン1つたふ1(1つたう1)1つたへる1(1つたえる1)1つたはる1(1つたわる1)1つて1,
传(2),傳,,026,9,4,6,+25232+,/zhuan4,1テン1デン1,
传(3),傳,,026,9,4,6,+25232+,/zhuan4,1テン1デン1,
仮(1),假,,024,9,4,6,+21247+22247+,/jia3,1カ1ケ1かす1かり1,
仮(2),假,,024,9,4,6,+21247+22247+,/jia4,1カ1ケ1,
伯(1),,015,,9,5,7,+26200+,/bo2,1ハク1ヒヤク1(1ヒャク1)1をさ1(1おさ1)1かしら1をぢ1(1おじ1),
伯(2),,015,,9,5,7,+26200+,/ba4,1ハ1はたがしら1,
估,,015,,9,5,7,+24260+,/gu1/gu4,1コ1あきなふ1(1あきなう1)1あたひ1(1あたい1),
伱,,015,,9,5,7,+28290+,/ni3,1ジ1ニ1その1なんぢ1(1なんじ1),
你,,015,,9,5,7,+27292+,/ni3,1ジ1ニ1その1なんぢ1(1なんじ1),
伴,,015,,9,5,7,+29250+,/ban4,1ハン1バン1とも1ともなふ1(1ともなう1),
伶,,015,,9,5,7,+28237+,/ling2,1レイ1リヤウ1(1リョウ1)1さかしい1わざをぎ1(1わざおぎ1),
伸,,015,,9,5,7,+25206+,/shen1,1シン1のべる1のばす1のびる1,
伺,,015,,9,5,7,+27220+,/si4/ci4,1シ1うかがふ1(1うかがう1),
伻,,015,,9,5,7,+21249+,/beng1,1ハウ1(1ホウ1)1ヒヤウ1(1ヒョウ1),
似,,015,,9,5,7,+28200+,/si4,1シ1ジ1にる1,
伽,,016,,9,5,7,+26200+,/qie2,1カ1ガ1キヤ1(1キャ1)1とぎ1,
伾,,016,,9,5,7,+21219+,/pei1,1ヒ1,
佃,,016,,9,5,7,+26200+,/dian4,1テン1デン1かり1たがやす1つくだ1,
但,,016,,9,5,7,+26210+,/dan4,1タン1ダン1ただし1,
佇,,016,,9,5,7,+23221+,/zhu4,1チヨ1(1チョ1)1ヂヨ1(1ジョ1)1たたずむ1,
佈,,016,,9,5,7,+24227+,/bu4,1ホ1フ1,
位,,016,,9,5,7,+20218+,/wei4,1ヰ1(1イ1)1くらゐ1(1くらい1),
佉,,016,,9,5,7,+24231+,/qu1,1キヨ1(1キョ1)1コ1,
佌,,016,,9,5,7,+22210+,/ci3,1シ1,
佋(1),,016,,9,5,7,+27262+,/shao4,1セウ1(1ショウ1)1ゼウ1(1ジョウ1),
佋(2),,016,,9,5,7,+27262+,/shao2,1セウ1(1ショウ1)1ゼウ1(1ジョウ1),
低,,016,,9,5,7,+22240+,/di1,1テイ1タイ1たてる1ひくい1ひくまる1ひくめる1,
住,,016,,9,5,7,+20214+,/zhu4,1チユ1(1チュ1)1ヂユ1(1ジュ1)1ヂユウ1(1ジュウ1)1すまふ1(1すまう1)1すむ1とどまる1,
佐,,016,,9,5,7,+24211+,/zuo3,1サ1すけ1たすける1,
佑,,016,,9,5,7,+24260+,/yu4,1イウ1(1ユウ1)1ウ1すけ1たすけ1たすける1,
体(1),笨,016,386,9,5,7,+25230+,/pen3,1ホン1ボン1あらい1おろか1そまつ1,
体(2),體,016,630,9,5,7,+25230+,/ti3,1テイ1タイ1からだ1,
佔(1),,016,,9,5,7,+21260+,/chan1,1テン1うかがふ1(1うかがう1),
佔(2),,016,,9,5,7,+21260+,/zhan4,1セン1しめる1,
何,,016,,9,5,7,+21220+,/he2,1カ1ガ1いづく1(1いずく1)1いづれ1(1いずれ1)1なに1なん1,
佗(1),,017,,9,5,7,+23211+,/tuo3,1タ1みだす1になふ1(1になう1),
佗(2),,017,,9,5,7,+23211+,/tuo1,1タ1うるはしい1(1うるわしい1),
佗(3),,017,,9,5,7,+23211+,/ta1,1タ1ほか1,
佘,,017,,9,5,7,+80901+,/she2,1シヤ1(1シャ1),
余(1),,017,,9,5,7,+80904+,/yu2,1ヨ1われ1,
余(2),餘,017,621,9,5,7,+80904+,/yu2,1ヨ1あまる1あます1われ1あまり1のこる1,
佚(1),,017,,9,5,7,+25230+,/yi4,1イツ1イチ1のがれる1たのしむ1あやまち1,
佚(2),,017,,9,5,7,+25230+,/die2,1テツ1デツ1たがひに1たがいに1,
佛,,017,,9,5,7,+25227+,/fu2/fo2,1フツ1ボチ1ブツ1ほとけ1,
作,,017,,9,5,7,+28211+,/zuo4,1サク1サ1つくる1なす1,
佞,,017,,9,5,7,+21244+,/ning4,1デイ1(1ニヤウ1)1ニョウ1ネイ1よこしま1おもねる1へつらふ1(1へつらう1),
佟,,017,,9,5,7,+27233+,/tong2,1トウ1ヅ1(1ズ1),
佝(1),,017,,9,5,7,+27220+,/hou4/kou4,1コウ1ク1,
佝(2),,017,,9,5,7,+27220+,/qu1,1ク1ゴ1,
佀,,017,,9,5,7,+27277+,/si4,1シ1ジ1にる1,
佋(1),紹,030,404,9,5,7,+27262+,/shao4,1セウ1(1ショウ1)1つぐ1うけつぐ1,
佋(2),昭,030,224,9,5,7,+27262+,/zhao1,1セウ1(1ショウ1)1あきらか1てる1てらす1,
佩,,017,,9,6,8,+27210+,/pei4,1ハイ1ベ1おびる1おびだま1はく1,
佬,,017,,9,6,8,+24211+,/liao2,1レウ1(1リョウ1),
